id,name,category,unit,selectedPrice,selectedSource,minPrice,maxPrice,avgPrice,priceCount,generatedAt
cemento_50kg,Cemento Portland 50kg,obra_gruesa,bolsa,11800,Manual,11800,11800,11800,1,2026-05-20T20:12:37.886Z
cemento_albanileria_25kg,Cemento de albañilería 25kg,obra_gruesa,bolsa,6400,LaAlianzaCorralon,6400,36185.29,12402.02,7,2026-05-20T20:12:37.886Z
cal_hidratada_25kg,Cal hidratada 25kg,obra_gruesa,bolsa,11000,LaAlianzaCorralon,7113.34,12000,9945,9,2026-05-20T20:12:37.886Z
ladrillo_hueco_18,Ladrillo hueco 18x18x33,mamposteria,unidad,1090,Manual,814.94,1299,1050.15,4,2026-05-20T20:12:37.886Z
arena_m3,Arena por m³,aridos,m3,42000,Manual,19819.252,59628.8,39862.72,6,2026-05-20T20:12:37.886Z
cal_hidratada_kg,Cal hidratada,obra_gruesa,kg,6300,Manual,6300,10097.05,7972.14,7,2026-05-20T20:12:37.886Z
cal_aerea_kg,Cal aérea,obra_gruesa,kg,6780,Manual,6780,7000,6890,2,2026-05-20T20:12:37.886Z
hierro_del_6,Hierro nervurado Ø6mm (12m),hierros,barra,6700,Manual,5872.51,91765,39036.56,5,2026-05-20T20:12:37.886Z
hierro_del_8,Hierro nervurado Ø8mm (12m),hierros,barra,10500,Manual,9348.34,86603.89,25408.08,5,2026-05-20T20:12:37.886Z
nylon_200_micrones,Nylon 200 micrones (rollo por metro),obra_gruesa,m,1300,Median,1300,1300,1300,1,2026-05-20T20:12:37.886Z
ceramico_calcareo_33x33,Cerámico calcáreo 33x33 (caja x10),ceramicos,caja,32699,Manual,12114.242,32699,17726.06,4,2026-05-20T20:12:37.886Z
porcelanato_60x60,Porcelanato 60x60,ceramicos,m2,40536.972,CorralonFernandes,14328.822,40536.972,28698.00,8,2026-05-20T20:12:37.886Z
revestimiento_brick_10x10,Revestimiento tipo Brick 10x10,ceramicos,m2,39208,Manual,39208,52448.81,45828.40,2,2026-05-20T20:12:37.886Z
microcemento_m2,Microcemento aplicado (insumo),revoques,m2,32438,Manual,32438,32438,32438,1,2026-05-20T20:12:37.886Z
piso_vinilico_spc_4mm,Piso vinílico SPC 4mm,placas,m2,44980,Manual,44980,44980,44980,1,2026-05-20T20:12:37.886Z
zocalo_eps_blanco,Zócalo EPS Cover 22x100x2400mm,perfileria,varilla,16276,Manual,12237.24,20223.18,16245.47,3,2026-05-20T20:12:37.886Z
placa_durlock_12_5,Placa Durlock 12.5mm 1.20x2.40,cielorraso_durlock,placa,25000,LaAlianzaCorralon,15733.59,54553.57,30164.01,4,2026-05-20T20:12:37.886Z
lana_vidrio_50mm,Lana de vidrio 50mm (rollo),cielorraso_durlock,m2,159834.18,CorralonFernandes,90429.77,211617.83,152496.99,11,2026-05-20T20:12:37.886Z
perfil_t_techo,Perfil T para techo liviano,cielorraso_durlock,ml,4500,LaAlianzaCorralon,2877.33,145615.8,53784.97,18,2026-05-20T20:12:37.886Z
moldura_buna_z,Moldura buña Z (perfil),perfileria,ml,3847.03,Median,3847.03,3847.03,3847.03,1,2026-05-20T20:12:37.886Z
chapa_sinusoidal_aislada,Chapa sinusoidal con aislación,cubiertas,m2,,,,,,0,2026-05-20T20:12:37.886Z
latex_interior_20l,Látex interior balde 20L,pintura,balde,185724.95,Median,185724.95,185724.95,185724.95,1,2026-05-20T20:12:37.886Z
enduido_plastico_30kg,Enduido plástico 30kg,pintura,balde,,,,,,0,2026-05-20T20:12:37.886Z
hidrofugo_pegamento_kg,Hidrófugo / pegamento Sika,pegamentos,kg,121997.04,CorralonFernandes,7953,121997.04,38676.84,11,2026-05-20T20:12:37.886Z
inodoro_corto_valvula,Inodoro corto con válvula,sanitarios,unidad,250000,LaAlianzaCorralon,97128.49,793656.56,246510.11,14,2026-05-20T20:12:37.886Z
bacha_apoyar_loza,Bacha de apoyar (loza),sanitarios,unidad,138000,Manual,41010.09,485118.99,162885.93,23,2026-05-20T20:12:37.886Z
griferia_monocomando_bacha,Grifería monocomando bacha,griferias,unidad,112303.32,Median,31350.5,228500.98,126851.03,24,2026-05-20T20:12:37.886Z
rejilla_lineal_60,Rejilla lineal de ducha 60cm,sanitarios,unidad,52550,Manual,52550,65115.14,57727.22,4,2026-05-20T20:12:37.886Z
calefon_electrico_chico,Calefón eléctrico instantáneo (chico),plomeria,unidad,526000,Median,526000,526000,526000,1,2026-05-20T20:12:37.886Z
spot_dicroica_led,Spot dicroico LED + caja cardánica,iluminacion,unidad,,,,,,0,2026-05-20T20:12:37.886Z
